Name of Issuer,CUSIP,Value,Shares
KKR & Co LLC,48248M102,12159,667000
Liberty Braves Group A,531229706,1020,42600
Liberty Braves Group C,531229888,2360,99788
Liberty Broadband A,530307107,13551,159250
Liberty Broadband Class C,530307305,14871,172113
Liberty Global PLC,G5480U104,4233,118000
Liberty Global PLC Lilac,G5480U138,327,14720
Liberty Media Group A,531229870,3973,121500
Liberty Media Group C,531229854,8316,243500
Liberty Sirius Group A,531229409,16580,426000
Liberty Sirius Group C,531229607,20243,522000
Live Nation,538034109,9952,327700
Lowes,548661107,7810,95000
Lowes,548661107,38474,468000
MSCI,55354G100,13315,137000
Marriott International,571903202,142049,1508269
Marsh & McLennan,571748102,45036,609500
"Mastercard, Inc",57636Q104,17894,159100
Maxim Integrated Products,57772K101,7823,174000
McKesson Corp,58155Q103,1349,9100
Merck,58933Y105,356,5600
Microsoft Corp,594918104,16004,243000
Monsanto Co,61166W101,44906,396700
Moody's Corp,615369105,32492,290000
NXP Semiconductors NV,N6596X109,3622,35000
Nike,654106103,19394,348000
Norfolk Southern,655844108,25697,229500
Novartis AG-Sponsored ADR,66987V109,275,3700
Novo-Nordisk A/S,670100205,36851,1075000
Oaktree Capital Group LLC,674001201,33092,730500
Paccar,693718108,7950,118300
Parker-Hannifin Corp,701094104,15327,95600
Patterson Companies Inc.,703395103,7599,168000
Paychex,704326107,8835,150000
Penske Automotive Group,70959W103,2294,49000
Pepsico,713448108,16287,145600
Philip Morris International,718172109,12927,114500
Praxair Inc.,74005P104,7282,61400
Priceline Group Inc,741503403,356,200
RLI Corporation,749607107,71860,1197272
Ritchie Bros,767744105,3751,114000
Rockwell  Automation Inc,773903109,16318,104800
Rockwell Collins Inc,774341101,1457,15000
"Rollins, Inc.",775711104,13913,374700
S&P Global,78409V104,19219,147000
SEI Investments Co,784117103,15344,304200
Schlumberger,806857108,51741,662500
Sensata Technologies Holding,N7902X106,4542,104000
Starbucks Corp,855244109,1518,26000
Stericycle Inc,858912108,13262,160000
Synalloy Corporation,871565107,5081,414804
T.Rowe Price,74144T108,750,11000
T.Rowe Price,74144T108,20649,303000
Texas Instruments Inc,882508104,38185,474000
The Carlyle Group,14309L102,8406,527000
The Travelers Companies Inc,89417E109,37970,315000
Tyson Foods,902494103,4381,71000
Unilever PLC ADR,904767704,75372,1527600
Union Pacific,907818108,8961,84600
United Health Group Inc,91324P102,108739,663000
United Technologies,913017109,15204,135500
VF Corp,918204108,1693,30800
Verisk Analytics Inc,92345Y106,5923,73000
Visa,92826C839,79210,891300
W.P. Carey,92936U109,2800,45000
W.P. Carey,92936U109,56322,905200
Walgreens Boots Alliance Inc,931427108,177312,2135000
Watsco Inc,942622200,28421,198500
