Name of Issuer,CUSIP,Value,Shares
Exxon Corporation,30231G102,67244,745000
Facebook,30303M102,7306,63500
Factset Research,303075105,26803,164000
Flowserve,34354P105,961,20000
General Dynamics,369550108,66819,387000
Gilead Sciences Inc,375558103,1003,14000
Goldman Sachs,38141G104,4095,17100
Graham Holdings Co,384637104,2662,5200
"Hasbro, Inc",418056107,28316,364000
Heico Corp,422806109,231,3000
Heico Corp Class A,422806208,3361,49500
Hershey Foods,427866108,2493,24100
Hexcel Corp,428291108,617,12000
Home Depot,437076102,2682,20000
Home Depot,437076102,120672,900000
Illinois Tool Works,452308109,28166,230000
Investors Title Company,461804106,33740,213300
JP Morgan,46625H100,15791,183000
John Deere,244199105,112870,1095400
Johnson and Johnson,478160104,6337,55000
Johnson and Johnson,478160104,64034,555800
KKR & Co LLC,48248M102,9573,622000
Liberty Braves Group A,531229706,873,42600
Liberty Braves Group C,531229888,2055,99788
Liberty Broadband A,530307107,10452,144250
Liberty Broadband Class C,530307305,12748,172113
Liberty Global PLC,G5480U104,3610,118000
Liberty Global PLC Lilac,G5480U138,323,14720
Liberty Media Group A,531229870,3809,121500
Liberty Media Group C,531229854,6470,206500
Liberty Sirius Group A,531229409,14706,426000
Liberty Sirius Group C,531229607,17706,522000
Linear Technology Corp,535678106,12844,206000
Live Nation,538034109,6961,261700
Lowes,548661107,6756,95000
Lowes,548661107,31648,445000
MSCI,55354G100,10793,137000
Marriott International,571903202,123712,1496269
Marsh & McLennan,571748102,41196,609500
"Mastercard, Inc",57636Q104,15601,151100
Maxim Integrated Products,57772K101,6210,161000
McKesson Corp,58155Q103,1278,9100
Mead Johnson Nutrition,582839106,2286,32300
Merck,58933Y105,330,5600
Microsoft Corp,594918104,12863,207000
Monsanto Co,61166W101,41737,396700
Moody's Corp,615369105,27338,290000
NXP Semiconductors NV,N6596X109,3234,33000
Nike,654106103,16469,324000
Norfolk Southern,655844108,24802,229500
Novartis AG-Sponsored ADR,66987V109,270,3700
Novo-Nordisk A/S,670100205,38549,1075000
Oaktree Capital Group LLC,674001201,26081,695500
Oracle Corp,68389X105,24531,638000
Paccar,693718108,7559,118300
Parker-Hannifin Corp,701094104,11564,82600
Patterson Companies Inc.,703395103,6893,168000
Paychex,704326107,9132,150000
Penske Automotive Group,70959W103,1814,35000
Pepsico,713448108,15234,145600
Philip Morris International,718172109,10476,114500
Praxair Inc.,74005P104,5672,48400
Priceline Group Inc,741503403,293,200
RLI Corporation,749607107,75584,1197272
Ritchie Bros,767744105,3876,114000
Rockwell  Automation Inc,773903109,12338,91800
"Rollins, Inc.",775711104,12016,355700
S&P Global,78409V104,15808,147000
SEI Investments Co,784117103,14324,290200
Schlumberger,806857108,55617,662500
Sensata Technologies Holding,N7902X106,1792,46000
Starbucks Corp,855244109,666,12000
Stericycle Inc,858912108,5778,75000
Synalloy Corporation,871565107,4542,414804
T.Rowe Price,74144T108,828,11000
T.Rowe Price,74144T108,22804,303000
Texas Instruments Inc,882508104,30283,415000
The Carlyle Group,14309L102,7274,477000
The Travelers Companies Inc,89417E109,38562,315000
Tyson Foods,902494103,678,11000
Unilever PLC ADR,904767704,62173,1527600
Union Pacific,907818108,8771,84600
United Health Group Inc,91324P102,106107,663000
United Technologies,913017109,13702,125000
VF Corp,918204108,1003,18800
Verisk Analytics Inc,92345Y106,5398,66500
Visa,92826C839,68837,882300
W.P. Carey,92936U109,2659,45000
W.P. Carey,92936U109,53488,905200
Walgreens Boots Alliance Inc,931427108,176693,2135000
Watsco Inc,942622200,27995,189000
