Name of Issuer,CUSIP,Value,Shares,Ratio
Carmax,143130102,432350,4913070,0.06532429163144982
Caterpillar Inc,149123101,35114,278000,0.0053054173154775735
Charles Schwab,808513105,44716,1069000,0.006756195269091963
Choice Hotels Intl Inc,169905106,16636,187000,0.0025135536384429265
Cisco,17275R102,16899,342000,0.0025532906309237205
Citigroup Inc,172967424,1255,18170,0.0001896194888342073
Colfax Corporation,194014106,32985,1135070,0.004983744094977154
Comcast Corp- Class A,20030N101,23486,521000,0.003548528537657524
Costco,22160K105,11279,39150,0.0017041579398892623
Crown Holdings Inc,228368106,6672,101000,0.0010080806609576343
DR Horton Inc,23331A109,1552,29447,0.00023449358300453365
Delta Air Lines,247361702,20852,362000,0.0031505542479449327
Diageo PLC,25243Q205,220719,1349800,0.03334870434740829
Discovery Communications,25470F302,16667,677000,0.0025182374664539705
Disney,254687106,240173,1842950,0.03628803306117774
Dollar Tree Inc,256746108,14042,123000,0.002121622997776844
Ecolab,278865100,58976,297800,0.008910756154172278
Electronic Arts Inc,285512109,11973,122400,0.0018090152508461865
Equifax Inc,294429105,11887,84500,0.0017960214053961928
Facebook,30303M102,25357,142390,0.0038312202218079637
Factset Research,303075105,28303,116490,0.004276334974083322
General Dynamics,369550108,70716,387000,0.010684567149322552
Goldman Sachs,38141G104,69254,334190,0.010463671776672663
Graham Holdings Co,384637104,3450,5200,0.0005212647302613667
"Hasbro, Inc",418056107,43203,364000,0.006527594243907775
Healthcare Services Group,421906108,9631,396500,0.001455159599173108
Heico Corp Class A,422806208,32924,338344,0.004974527530181228
Hexcel Corp,428291108,14209,173000,0.002146855232546017
Home Depot,437076102,213459,920000,0.03225178204546698
Illinois Tool Works,452308109,44756,286000,0.006762238918138472
Illumina Inc,452327109,304,1000,4.593173275346535e-05
Intl Flavors & Fragrances,459506101,10367,84500,0.0015663627416288661
Investors Title Company,461804106,34149,213300,0.005159614282230554
JP Morgan,46625H100,24622,209210,0.003720168170578368
John Deere,244199105,169675,1005900,0.025636403799158665
Johnson and Johnson,478160104,79025,610800,0.011939984147508551
KKR & Co LLC,48251W104,35726,1330600,0.005397885145889156
Kraft Heinz Co,500754106,978,35000,0.00014776721918713525
Lennar Corp - B,526057302,965,21750,0.00014580303324701995
Lennar Corporation,526057104,330,5900,4.986010463369594e-05
Liberty Broadband A,530307107,21452,205250,0.0032412089836425617
Liberty Broadband Class C,530307305,18015,172113,0.00272190843932131
Liberty Global PLC,G5480U104,4430,179000,0.0006693341319008273
Liberty Media Group A,531229870,9086,229500,0.0013728148809144282
Liberty Media Group C,531229854,10792,259500,0.00163057651274802
Liberty Sirius Group A,531229409,17709,426000,0.0026756745241155195
Liberty Sirius Group C,531229607,21903,522000,0.003309351126641946
Linde PLC,G5494J103,18287,94400,0.002763005252837569
Live Nation,538034109,32421,488700,0.004898528643421382
Lowes,548661107,62677,570000,0.009469944782200486
MSCI,55354G100,29832,137000,0.0045073534588861135
Marriott International,571903202,195792,1574269,0.029582453352850292
Marsh & McLennan,571748102,60981,609500,0.009213694062628522
"Mastercard, Inc",57636Q104,54966,202400,0.008304880337259792
Maxim Integrated Products,57772K101,14594,252000,0.0022050253546186623
McKesson Corp,58155Q103,8213,60100,0.001240912240474378
Microchip Technology,595017104,14773,159000,0.0022320706841017883
Microsoft Corp,594918104,64399,463200,0.009730123873652682
Mohawk Industries,608190104,26427,213000,0.003992887833802069
Moody's Corp,615369105,42262,206330,0.00638541740008866
NVR Inc,62944T105,26970,7255,0.004074930369608423
Nike,654106103,34374,366000,0.005193609808117164
Norfolk Southern,655844108,41232,229500,0.006229793437141064
Novo-Nordisk A/S,670100205,55577,1075000,0.00839719707644521
Parker-Hannifin Corp,701094104,21421,118600,0.0032365251556315173
Paychex,704326107,12416,150000,0.0018759486640362692
Penske Automotive Group,70959W103,3404,72000,0.0005143145338578818
Pepsico,713448108,19962,145600,0.0030160830566601164
Philip Morris International,718172109,8694,114500,0.001313587120258644
Progressive Corp,743315103,44650,578000,0.006746223248165224
RLI Corporation,749607107,111238,1197272,0.01680708581588809
Rockwell Automation Inc,773903109,22182,134600,0.0033515055787413438
"Rollins, Inc.",775711104,27541,808350,0.0041612034597473336
S&P Global,78409V104,36012,147000,0.005441097236571692
SEI Investments Co,784117103,22708,383200,0.003430979563702932
Scotts Miracle-Gro Co,810186106,41848,411000,0.006322865632457296
Shake Shack Inc - Class A,819047101,2941,30000,0.0004443592961445447
Sherwin Williams,824348106,17046,31000,0.0025755010411696393
Southwest Airlines,844741108,23521,435500,0.003553816730573219
Starbucks Corp,855244109,44738,505968,0.006759519276067542
Stericycle Inc,858912108,28928,568000,0.004370766990435019
T.Rowe Price,74144T108,35874,314000,0.005420246647361237
Texas Instruments Inc,882508104,90920,703500,0.013737214282714046
The Carlyle Group,14309L102,30084,1177000,0.004545428447879117
The Travelers Companies Inc,89417E109,46837,315000,0.007076659759783081
TransUnion,89400J107,6164,76000,0.0009313263180669751
Trupanion,898202106,1957,77000,0.0002956855296004332
Tyson Foods,902494103,28986,336500,0.004379530281552456
Unilever PLC ADR,904767704,91808,1527600,0.013871383291546536
Union Pacific,907818108,13828,85370,0.002089289475378023
United Health Group Inc,91324P102,130174,599000,0.019668149274505258
United Technologies,913017109,30580,224000,0.004620369696055824
Verisk Analytics Inc,92345Y106,11702,74000,0.0017680695285560908
Visa,92826C839,163323,949500,0.024676672330573097
WR Berkley Corp,084423102,1950,27000,0.0002946278910172942
Walgreens Boots Alliance Inc,931427108,118944,2150500,0.01797139480469797
Watsco Inc,942622200,63696,376500,0.009623906741660294
Wells Fargo,949746101,7758,153800,0.0011721657325703427
Whirlpool Corp,963320106,40556,256099,0.006127655768255068
