Name of Issuer,CUSIP,Value,Shares,Ratio
Emerson Electric,291011104,8946,158000,0.0022614351493151362
Exxon Corporation,30231G102,73848,868800,0.018667836229222464
Factset Research,303075105,22447,141000,0.005674316431553416
Federated Investors,314211103,72321,2134000,0.018281830028350095
General Dynamics,369550108,52528,387000,0.013278411080172754
General Electric,369604103,73512,2963000,0.01858289969779279
Google Class A,38259P508,6934,12500,0.0017528271099207639
Google Class C,38259P706,6850,12500,0.0017315929770633446
Graham Holdings Co,384637104,5458,5200,0.0013797130611403992
Halliburton,406216101,6801,155000,0.0017192063995631836
"Hasbro, Inc",418056107,22640,358000,0.0057231043796662955
Home Depot,437076102,104521,920000,0.026421580957027423
Illinois Tool Works,452308109,22342,230000,0.005647773765481642
Intel,458140100,30988,991000,0.00783337272602028
Investors Title Company,461804106,15793,213300,0.003992269764490716
John Deere,244199105,79447,906000,0.020083192299087817
Johnson and Johnson,478160104,57765,574200,0.014602258148914467
KKR & Co LLC,48248M102,10675,468000,0.0026985043839636794
"LGI Homes, Inc",50187T106,283,17000,7.15388047458287e-05
Liberty Broadband A,530307107,4533,80250,0.0011458848124128675
Liberty Global PLC,G5480U104,3706,72000,0.0009368297186856578
Liberty Media,531229102,14649,380000,0.003703081097956341
Liberty Media Class C,530307305,9742,172113,0.0024626538368687743
Liberty Media Corp Class C,531229300,19711,516000,0.004982690389911765
Lowes,548661107,40171,540000,0.010154718464468849
MSCI,55354g100,6989,114000,0.001766730411196455
Marriott International,571903202,109948,1368869,0.02779345761199425
Marsh & McLennan,571748102,22492,401000,0.00568569185986989
"Mastercard, Inc",57636Q104,9157,106000,0.0023147732687546054
Mattel,577081102,9643,422000,0.0024376278945725306
McDonalds,580135101,17637,181000,0.00445840953817025
McGraw Hill Financial,580645109,12822,124000,0.003241238708307475
Microsoft Corp,594918104,12928,318000,0.003268034161675171
Monsanto Co,61166W101,17331,154000,0.0043810566256182225
Moody's Corp,615369105,27715,267000,0.0070059999064687
National Oilwell,637071101,28744,575000,0.007266118033972085
Nike,654106103,16053,160000,0.004057994461430347
Norfolk Southern,655844108,9469,92000,0.002393642905082162
Novo-Nordisk A/S,670100205,57394,1075000,0.014508474062127534
Now Inc,67011P100,2023,93500,0.0005113886996495104
Oaktree Capital Group LLC,674001201,12889,249500,0.003258175457134226
Oracle Corp,68389x105,27530,638000,0.006959234256723194
Patterson Companies Inc.,703395103,7562,155000,0.001911577531759564
Paychex,704326107,7442,150000,0.0018812430562489652
Pepsico,713448108,12842,134300,0.0032462944542259085
Philip Morris International,718172109,8625,114500,0.0021802904273242846
Procter & Gamble,742718109,10406,127000,0.002630504601360754
RLI Corporation,749607107,62749,1197272,0.015862150031788
Rent-A-Center,76009N100,5900,215000,0.0014914450459377713
Ritchie Bros,767744105,2394,96000,0.0006051727864364449
"Rollins, Inc.",775711104,5119,207000,0.0012940181678229579
"Ross Stores, Inc",778296103,2423,23000,0.0006125036180181729
Rush Enterprises Inc,781846209,246,9000,6.218567479672742e-05
SEI Investments Co,784117103,10449,237000,0.0026413744550853853
Schlumberger,806857108,45475,545000,0.011495502282037313
Starz Liberty Capital,85571Q102,413,12000,0.000104401153215644
Synalloy Corporation,871565107,11317,785343,0.0028607938279453828
T.Rowe Price,74144T108,20245,250000,0.005117678805933929
The Carlyle Group,14309L102,9512,351000,0.0024045127588067936
The Travelers Companies Inc,89417e109,28006,259000,0.007079561009581903
Unilever PLC ADR,904767704,60938,1461000,0.015404352238873884
United Health Group Inc,91324P102,78426,663000,0.019825096469951807
United Parcel Service,911312106,72172,744500,0.01824416472125777
United Technologies,913017109,6212,53000,0.0015703146822653282
Verisk Analytics Inc,92345Y106,643,9000,0.0001625422312776249
Visa,92826C839,52851,808000,0.01336006137675545
W.P. Carey,92936U109,64614,950200,0.016333598338681893
Wal-Mart Stores,931142103,90310,1098000,0.02282922069468477
Walgreens Boots Alliance Inc,931427108,180792,2135000,0.04570192080426806
Watsco Inc,942622200,7291,58000,0.001843072174564795
Wesco Aircraft Holdings,950814103,2451,160000,0.0006195816623039793
