Name of Issuer,CUSIP,Value,Shares,Ratio
General Dynamics,369550108,42152,387000,0.01294121222857364
General Electric,369604103,68091,2630000,0.020904822590999423
Google,38259P508,13931,12500,0.0042769981864741735
Graham Holdings Co,384637104,3659,5200,0.0011233605889246286
"Hasbro, Inc",418056107,12181,219000,0.003739725425988221
Heritage Crystal Clean Inc,42726M106,2793,154041,0.0008574873257355801
Home Depot,437076102,72800,920000,0.022350546836215623
Illinois Tool Works,452308109,18706,230000,0.005742985290085844
Intel,458140100,25582,991000,0.00785400671928665
International Game Technology,459902102,12865,915000,0.003949722322086731
Investors Title Company,461804106,16189,213300,0.0049702335540040485
Johnson and Johnson,478160104,56404,574200,0.017316761589971235
KKR & Co LLC,48248M102,7377,323000,0.0022648349452027835
Liberty Media,531229102,22878,175000,0.0070238435510843545
Loews Corporation,540424108,9250,210000,0.002839870305425749
Lowes,548661107,26405,540000,0.008106678423218043
MSCI,55354g100,1420,33000,0.00043595846850860145
Marriott International,571903202,72987,1302869,0.022407958268336123
Marsh & McLennan,571748102,592,12000,0.00018175169954724792
"Mastercard, Inc",57636Q104,5976,80000,0.0018347097238080297
Mattel,577081102,8945,223000,0.0027462313385981972
McDonalds,580135101,17743,181000,0.005447331765315574
McGraw Hill Financial,580645109,4578,60000,0.0014055055414312516
Microsoft Corp,594918104,33530,818000,0.010294146090910849
Monsanto Co,61166W101,3754,33000,0.001152526824493866
Moody's Corp,615369105,16419,207000,0.005040846545382202
Mosaic Company,61945c103,7750,155000,0.0023793507964377895
National Oilwell,637071101,24295,312000,0.00745888098057498
Nike,654106103,8863,120000,0.002721056272106855
Norfolk Southern,655844108,8940,92000,0.002744696273568237
Northern Trust Corp,665859104,9178,140000,0.0028177653689943267
Novo-Nordisk A/S,670100205,49074,1075000,0.015066356256050075
Oracle Corp,68389x105,25855,632000,0.007937821269922457
Patterson Companies Inc.,703395103,6055,145000,0.0018589637512813955
Paychex,704326107,6390,150000,0.0019618131082887063
Pepsico,713448108,10797,129300,0.0033148194256953306
Philip Morris International,718172109,9374,114500,0.002877939918168753
Potash Corp,73755L107,2898,80000,0.0008897236913647373
Procter & Gamble,742718109,7657,95000,0.0023507985868805362
RLI Corporation,749607107,52967,1197272,0.016261557888376826
"Rollins, Inc.",775711104,2268,75000,0.0006963054975897944
"Ross Stores, Inc",778296103,1646,23000,0.0005053434078627873
SEI Investments Co,784117103,7629,227000,0.002342202222712761
Schlumberger,806857108,25350,260000,0.0077827797018965115
Starz Liberty Capital,85571Q102,387,12000,0.00011881403331889349
Synalloy Corporation,871565107,11278,785343,0.0034624926815774696
T.Rowe Price,74144T108,20588,250000,0.006320783767362737
Target,87612E106,1997,33000,0.0006131049729659698
Teva Pharmaceuticals,881624209,36671,694000,0.011258473942731636
The Travelers Companies Inc,89417e109,5191,61000,0.001593704514104331
Unilever PLC ADR,904767704,25967,607000,0.007972206726593559
United Health Group Inc,91324P102,49030,598000,0.015052847683786428
United Parcel Service,911312106,69675,715500,0.021391131192490708
United Technologies,913017109,6193,53000,0.0019013315461082877
Universal Technical Institute,913915104,635,49000,0.00019495325880490276
Visa,92826C839,31839,147500,0.009774987097778423
W.P. Carey,92936U109,57078,950200,0.017523688356009825
Wal-Mart Stores,931142103,83920,1098000,0.025764531462846362
Walgreen,931422109,140974,2135000,0.043280851506712376
Wellpoint Inc,94973V107,13340,134000,0.004095553499932918
