Name of Issuer,CUSIP,Value,Shares,Ratio
Union Pacific,907818108,5449,68500,0.00146271826687884
United Health Group Inc,91324P102,85461,663000,0.02294097372100065
United Technologies,913017109,6186,61800,0.0016605570194370535
VF Corp,918204108,207,3200,5.55666509898917e-05
Verisk Analytics Inc,92345Y106,4156,52000,0.0011156280266376324
Visa,92826C839,65367,854700,0.017546982006068846
W.P. Carey,92936U109,59141,950200,0.015875687469532294
Walgreens Boots Alliance Inc,931427108,179852,2135000,0.04827909813446378
Watsco Inc,942622200,17166,127400,0.0046080054632487
Wesco Aircraft Holdings,950814103,4130,287000,0.00110864864052296
