Name of Issuer,CUSIP,Value,Shares,Ratio
Oracle Corp,68389x105,25858,638000,0.007372671163412527
Patterson Companies Inc.,703395103,6124,155000,0.0017460839277878538
Paychex,704326107,6234,150000,0.001777447290305271
Pepsico,713448108,11998,134300,0.0034208874862179405
Philip Morris International,718172109,9653,114500,0.0027522776216420885
Procter & Gamble,742718109,9981,127000,0.0028457974662394786
RLI Corporation,749607107,54811,1197272,0.015627793299474207
Rent-A-Center,76009N100,3155,110000,0.0008995582612950161
Ritchie Bros,767744105,246,10000,7.013988344804245e-05
"Rollins, Inc.",775711104,2610,87000,0.0007441670560950846
"Ross Stores, Inc",778296103,1521,23000,0.00043366976717265274
SEI Investments Co,784117103,7766,237000,0.0022142533937296654
Schlumberger,806857108,36564,310000,0.01042518170078953
Sigma Aldrich,826552101,609,6000,0.00017363897975551974
Starz Liberty Capital,85571Q102,357,12000,0.00010178836744289087
Synalloy Corporation,871565107,12895,785343,0.0036766414514736077
T.Rowe Price,74144T108,21103,250000,0.006016918538227805
Target,87612E106,1912,33000,0.0005451522648481999
Teva Pharmaceuticals,881624209,36379,694000,0.010372434227464783
The Travelers Companies Inc,89417e109,15992,170000,0.004559662667077621
Unilever PLC ADR,904767704,41323,912000,0.011782074811883977
United Health Group Inc,91324P102,51257,627000,0.014614471568684196
United Parcel Service,911312106,73453,715500,0.020943027881744156
United Technologies,913017109,6119,53000,0.0017446583204006982
Universal Technical Institute,913915104,410,33800,0.00011689980574673743
Visa,92826C839,34662,164500,0.009882880650715641
W.P. Carey,92936U109,61193,950200,0.017447438568439277
Wal-Mart Stores,931142103,82427,1098000,0.02350170802021055
Walgreen,931422109,158268,2135000,0.045125605990060096
Wellpoint Inc,94973V107,20231,188000,0.0057682926099079145
