Name of Issuer,CUSIP,Value,Shares,Ratio
Fairfax Financial Holdings Ltd,303901102,146436,279459,0.03864116800632884
Federated Investors,314211103,70272,2134000,0.018543200839552708
General Dynamics,369550108,53259,387000,0.014053852651322541
General Electric,369604103,74294,2940000,0.01960451621091941
Google Class A,38259P508,6633,12500,0.0017502995669506076
Google Class C,38259P706,6580,12500,0.0017363140585760588
Graham Holdings Co,384637104,4491,5200,0.0011850739266056353
Halliburton,406216101,590,15000,0.00015568773473554327
"Hasbro, Inc",418056107,17542,319000,0.004628939394459152
Home Depot,437076102,96572,920000,0.025483179523526925
Illinois Tool Works,452308109,21781,230000,0.005747516186906556
Intel,458140100,35963,991000,0.009489827125922615
Investors Title Company,461804106,15550,213300,0.004103295381589318
John Deere,244199105,73696,833000,0.019446717456051858
Johnson and Johnson,478160104,60044,574200,0.015844261600781288
KKR & Co LLC,48248M102,10096,435000,0.0026641074065932966
"LGI Homes, Inc",50187T106,254,17000,6.702488919123388e-05
Liberty Broadband A,530307107,4020,80250,0.0010607876163337016
Liberty Global PLC,094506433,1657,33000,0.00043724504484202577
Liberty Media,531229102,12027,341000,0.0031736548909565743
Liberty Media Class C,530307305,6427,129000,0.001695940798551418
Liberty Media Corp Class C,531229300,18075,516000,0.004769586110754144
Lowes,548661107,37152,540000,0.00980357749304221
MSCI,55354g100,4791,101000,0.0012642371815559115
Marriott International,571903202,105798,1355869,0.02791771349076442
Marsh & McLennan,571748102,19233,336000,0.00507515627486221
"Mastercard, Inc",57636Q104,8013,93000,0.0021144505397218782
Mattel,577081102,10305,333000,0.0027192578075419887
McDonalds,580135101,16960,181000,0.004475362679855617
McGraw Hill Financial,580645109,9877,111000,0.002606318230479595
Microsoft Corp,594918104,37996,818000,0.010026290116968987
Monsanto Co,61166W101,11350,95000,0.002995009812285451
Moody's Corp,615369105,24336,254000,0.006421723241566408
National Oilwell,637071101,31127,475000,0.008213715456124161
Nicholas Financial,65373j209,670,45000,0.00017679793605561694
Nike,654106103,14903,155000,0.003932566628413223
Norfolk Southern,655844108,10084,92000,0.0026609408763952854
Novo-Nordisk A/S,670100205,45494,1075000,0.012004843735692891
Now Inc,67011P100,2406,93500,0.0006348893047012155
Oaktree Capital Group LLC,674001201,7930,153000,0.002092548705852302
Oracle Corp,68389x105,28691,638000,0.007570909825927919
Patterson Companies Inc.,703395103,7455,155000,0.0019672068855143645
Paychex,704326107,6925,150000,0.0018273518017688766
Pepsico,713448108,12699,134300,0.0033509805820451932
Philip Morris International,718172109,9326,114500,0.0024609217188875875
Procter & Gamble,742718109,11568,127000,0.003052535110882652
RLI Corporation,749607107,59145,1197272,0.015607035713446961
Rent-A-Center,76009N100,6901,190000,0.0018210187413728544
Ritchie Bros,767744105,1855,69000,0.0004894927931092081
"Rollins, Inc.",775711104,3376,102000,0.0008908504957071086
"Ross Stores, Inc",778296103,2168,23000,0.0005720864557739963
SEI Investments Co,784117103,9489,237000,0.0025039337540772376
Schlumberger,806857108,34591,405000,0.009127787173283351
Starz Liberty Capital,85571Q102,356,12000,9.394039587432781e-05
Synalloy Corporation,871565107,13830,785343,0.0036494260532077345
T.Rowe Price,74144T108,21465,250000,0.005664130891692265
The Carlyle Group,14309L102,8855,322000,0.0023366354086156536
The Travelers Companies Inc,89417e109,25827,244000,0.006815164618669282
Unilever PLC ADR,904767704,56955,1407000,0.015029143952309944
United Health Group Inc,91324P102,66315,656000,0.017499037506758564
United Parcel Service,911312106,81321,731500,0.02145878351937138
United Technologies,913017109,6095,53000,0.0016083334630731122
Visa,92826C839,49949,190500,0.013180418071704492
W.P. Carey,92936U109,66609,950200,0.017576617496609832
Wal-Mart Stores,931142103,94296,1098000,0.02488259429597083
Walgreens Boots Alliance Inc,931427108,162367,2135000,0.04284500072170501
Watsco Inc,942622200,214,2000,5.646978853119705e-05
Wesco Aircraft Holdings,950814103,419,30000,0.00011056467941388582
