Name of Issuer,CUSIP,Value,Shares,Ratio
Hormel Foods,440452100,691,19000,0.00013046412944458342
IBM,459200101,2409,15700,0.00045483080728220184
Illinois Tool Works,452308109,38376,230000,0.007245573707041004
Illumina Inc,452327109,218,1000,4.115945038917393e-05
Intl Flavors & Fragrances,459506101,1221,8000,0.00023053068314303382
Investors Title Company,461804106,42308,213300,0.007987954252592527
JP Morgan,46625H100,19570,183000,0.003694910294110706
John Deere,244199105,171441,1095400,0.032368886853992515
Johnson and Johnson,478160104,85341,610800,0.0161127919984518
KKR & Co LLC,48248M102,20365,967000,0.003845010124658381
Liberty Braves Group A,531229706,939,42600,0.00017728772438272626
Liberty Braves Group C,531229888,2217,99788,0.00041858028216880096
Liberty Broadband A,530307107,17457,205250,0.003295965713044997
Liberty Broadband Class C,530307305,14658,172113,0.0027675010266261994
Liberty Global PLC,G5480U104,4444,124000,0.0008390486125205915
Liberty Global PLC Lilac,G5480U138,297,14720,5.6075031034792006e-05
Liberty Media Group A,531229870,5153,157500,0.0009729112286945563
Liberty Media Group C,531229854,8865,259500,0.001673754714220307
Liberty Sirius Group A,531229409,16895,426000,0.00318985740516098
Liberty Sirius Group C,531229607,20703,522000,0.003908826153243431
Live Nation,538034109,17781,417700,0.0033571384741738607
Lowes,548661107,52975,570000,0.010001935249387564
MSCI,55354G100,17336,137000,0.0032731203300308226
Marriott International,571903202,204718,1508269,0.03865174479252711
Marsh & McLennan,571748102,49607,609500,0.009366040621356656
"Mastercard, Inc",57636Q104,27563,182100,0.005204027206774317
Maxim Integrated Products,57772K101,10299,197000,0.0019445008236610199
McKesson Corp,58155Q103,4070,26100,0.0007684356104767794
Merck,58933Y105,315,5600,5.9473517764173344e-05
Microchip Technology,595017104,703,8000,0.00013272978726417098
Microsoft Corp,594918104,26688,312000,0.0050388229907627246
Monsanto Co,61166W101,46327,396700,0.00874676081733606
Moody's Corp,615369105,42807,290000,0.008082167856923709
Nike,654106103,22893,366000,0.004322308705318159
Norfolk Southern,655844108,33255,229500,0.006278704232532014
Novartis AG-Sponsored ADR,66987V109,311,3700,5.871829849097749e-05
Novo-Nordisk A/S,670100205,57695,1075000,0.01089309399175867
Oaktree Capital Group LLC,674001201,37322,886500,0.007046573428553897
Paccar,693718108,8409,118300,0.0015876597170759797
Parker-Hannifin Corp,701094104,23670,118600,0.004469010049136454
Patterson Companies Inc.,703395103,6070,168000,0.0011460452470747054
Paychex,704326107,10212,150000,0.00192807480446901
Penske Automotive Group,70959W103,3445,72000,0.0006504325990399275
Pepsico,713448108,17460,145600,0.003296532127499894
Philip Morris International,718172109,12097,114500,0.002283971886962555
Praxair Inc.,74005P104,13055,84400,0.002464846902892962
Priceline Group Inc,741503403,348,200,6.570407676803912e-05
RLI Corporation,749607107,72627,1197272,0.013712327538598785
Ritchie Bros,767744105,3412,114000,0.0006442020400360617
Rockwell Automation Inc,773903109,25094,127800,0.004737868110394177
Rockwell Collins Inc,774341101,5018,37000,0.0009474225782241962
"Rollins, Inc.",775711104,20645,443700,0.003897875473782091
S&P Global,78409V104,24902,147000,0.004701617585280776
SEI Investments Co,784117103,22004,306200,0.004154461221850382
Sensata Technologies Holding,N7902X106,8586,168000,0.0016210781699148961
Starbucks Corp,855244109,2986,52000,0.0005637711874407035
Stericycle Inc,858912108,15774,232000,0.0029782072038478423
Synalloy Corporation,871565107,5558,414804,0.0010493771801056363
T.Rowe Price,74144T108,32948,314000,0.006220741153314233
Texas Instruments Inc,882508104,54935,526000,0.010371992693253531
The Carlyle Group,14309L102,18251,797000,0.0034458767387743733
The Travelers Companies Inc,89417E109,42727,315000,0.008067063471459792
Tyson Foods,902494103,14430,178000,0.0027244535280540358
Under Armour Inc-Class C,904311206,1465,110000,0.00027659905880798077
Unilever PLC ADR,904767704,84537,1527600,0.015960992924539435
Union Pacific,907818108,11345,84600,0.002141990663601735
United Health Group Inc,91324P102,146165,663000,0.027596656266667925
United Technologies,913017109,21049,165000,0.003974152620374872
VF Corp,918204108,2279,30800,0.00043028618090333663
Verisk Analytics Inc,92345Y106,7008,73000,0.0013231441666391327
Visa,92826C839,104248,914300,0.019682524698030293
W.P. Carey,92936U109,65468,950200,0.012360673844396508
WR Berkley Corp,084423102,1290,18000,0.00024355821560566226
Walgreens Boots Alliance Inc,931427108,155043,2135000,0.029272865443526117
Watsco Inc,942622200,40044,235500,0.007560500143963674
